capital-gain,capital-loss,educational-num,marital-status,workclass,education,occupation,race,native-country,Class-label,relationship,age,hours-per-week,gender,fnlwgt
69.1,-295.8,42.6,-35,49,-21,54,-16,2407,1,-400,3.9,37.9,1,92676.6
57.7,-275.7,35.8,-29,37,-18,46,-14,2071,0,-336,3.0,29.2,0,79728.3
63.2,-310.8,39.1,-32,43,-19,50,-15,2258,1,-367,2.8,33.7,1,86917.7
67.5,-321.3,41.6,-34,47,-21,52,-16,2415,1,-391,3.6,36.8,1,92971.5
59.6,-280.1,36.9,-30,39,-18,48,-14,2143,0,-347,2.9,30.9,0,82433.6
66.5,-315.2,41.0,-34,46,-21,52,-16,2339,1,-386,3.8,36.0,1,90124.1
56.6,-266.0,35.2,-29,36,-17,46,-14,2043,0,-329,2.5,28.4,0,78658.6
59.7,-280.8,37.0,-30,39,-18,48,-14,2179,0,-347,3.1,30.9,0,83767.5
62.3,-295.0,38.5,-32,42,-19,49,-14,2179,1,-362,3.1,32.8,1,83991.3
59.8,-301.6,37.1,-31,40,-18,48,-14,2138,0,-348,2.9,31.2,0,82255.8
57.5,-263.4,35.7,-29,37,-17,46,-14,2077,0,-335,2.8,29.2,0,80035.0
67.6,-317.8,41.6,-35,47,-21,53,-16,2351,1,-392,3.9,37.0,1,90545.7
69.4,-315.0,42.7,-35,49,-21,54,-16,2432,1,-402,3.8,38.3,1,93628.2
65.3,-302.1,40.3,-33,45,-20,51,-15,2311,1,-379,3.5,34.9,1,89083.8
57.3,-256.6,35.6,-29,37,-17,46,-14,2095,0,-334,2.7,29.1,0,80589.0
57.3,-280.8,35.5,-29,37,-17,46,-14,2008,0,-333,2.6,29.1,0,77332.5
60.0,-280.2,37.1,-31,40,-18,48,-14,2132,0,-349,2.9,31.3,0,82069.8
57.1,-271.6,35.5,-29,37,-17,46,-14,2011,0,-332,2.6,28.9,0,77448.9
58.5,-290.0,36.3,-30,38,-18,47,-14,2045,0,-341,2.6,30.1,0,78791.3
63.1,-318.4,39.0,-32,43,-19,50,-15,2235,1,-366,3.3,33.4,1,85970.9
74.1,-364.1,45.5,-37,54,-23,57,-17,2661,1,-428,4.2,41.7,1,102240.4
60.0,-270.7,37.2,-31,40,-18,48,-14,2138,0,-349,2.8,31.3,0,82285.5
57.2,-261.5,35.5,-29,37,-17,46,-14,2005,0,-333,2.5,29.1,0,77196.6
58.8,-261.8,36.5,-30,38,-18,47,-14,2095,0,-342,2.9,30.2,0,80682.4
61.7,-325.2,38.2,-31,41,-19,49,-15,2179,0,-359,3.0,32.4,0,84039.9
60.6,-272.5,37.5,-31,40,-19,48,-14,2228,0,-352,2.6,31.6,0,85655.2
64.3,-302.2,39.7,-33,44,-20,51,-15,2223,1,-374,3.2,34.5,1,85580.9
64.2,-321.1,39.7,-33,44,-20,50,-15,2271,1,-373,3.3,34.4,1,87490.2
62.7,-299.7,38.8,-32,42,-19,50,-15,2199,1,-364,3.3,33.2,1,84674.3
71.0,-345.7,43.6,-36,51,-22,55,-16,2491,1,-411,4.0,39.5,1,95828.1
63.3,-268.8,39.1,-33,43,-19,50,-15,2215,1,-368,3.3,33.8,1,85267.9
59.3,-288.3,36.7,-30,39,-18,47,-14,2089,0,-345,3.0,30.6,0,80498.1
65.5,-323.0,40.4,-34,45,-20,51,-16,2340,1,-380,3.9,35.4,1,90087.7
60.7,-302.2,37.5,-31,40,-19,48,-14,2125,0,-352,2.9,31.6,0,81748.8
58.4,-271.0,36.2,-30,38,-18,47,-14,2062,0,-339,2.8,29.7,0,79467.1
57.4,-271.9,35.6,-29,37,-17,46,-14,2010,0,-334,3.1,29.1,0,77456.8
61.0,-299.6,37.8,-31,41,-19,48,-14,2170,0,-355,2.9,32.0,0,83510.6
59.8,-299.6,37.1,-31,39,-18,48,-14,2132,0,-348,3.4,31.0,0,82140.8
58.6,-258.9,36.3,-30,38,-18,47,-14,2130,0,-340,2.6,29.9,0,82044.9
65.2,-303.0,40.2,-33,45,-20,51,-15,2293,1,-378,3.5,34.9,1,88348.4
58.9,-272.9,36.5,-30,39,-18,47,-14,2076,0,-343,2.8,30.4,0,79902.3
63.1,-314.4,39.0,-32,43,-19,50,-15,2193,1,-366,3.2,33.4,1,84560.5
66.7,-313.3,41.1,-34,47,-21,52,-15,2368,1,-387,3.5,36.3,1,91088.1
62.0,-294.6,38.4,-31,42,-19,49,-15,2168,0,-360,3.0,32.6,0,83480.0
57.6,-274.8,35.7,-30,38,-17,46,-14,2087,0,-335,2.3,29.5,0,80353.0
69.0,-332.9,42.5,-35,49,-21,54,-16,2445,1,-400,4.0,38.1,1,94114.5
61.1,-289.1,37.8,-31,41,-19,48,-15,2159,0,-355,3.0,32.0,0,83119.1
57.7,-288.3,35.8,-30,37,-18,46,-14,2071,0,-336,2.4,29.6,0,79688.3
61.6,-267.8,38.1,-32,41,-19,49,-15,2159,0,-358,3.4,32.3,0,83236.6
79.8,-373.0,48.9,-40,60,-25,60,-19,2815,1,-461,4.9,46.1,1,108205.4
62.0,-296.4,38.4,-32,42,-19,49,-15,2173,0,-361,3.2,32.7,1,83763.5
59.0,-280.2,36.5,-30,39,-18,47,-14,2154,0,-344,3.0,30.5,0,82949.9
61.8,-270.5,38.2,-31,41,-19,49,-15,2172,0,-359,3.0,32.3,0,83689.4
56.8,-265.7,35.3,-29,37,-17,46,-13,2033,0,-331,2.6,28.7,0,78300.7
60.8,-275.4,37.7,-31,41,-19,48,-14,2213,0,-354,2.8,31.8,0,85179.8
66.1,-315.9,40.8,-34,46,-20,52,-16,2290,1,-383,3.4,35.7,1,88157.3
65.3,-337.6,40.3,-33,45,-20,51,-15,2347,1,-379,3.3,35.2,1,90263.3
74.9,-351.7,45.9,-38,55,-23,57,-18,2700,1,-434,4.5,42.6,1,103861.0
60.5,-290.3,37.5,-31,40,-18,48,-14,2153,0,-352,2.8,31.7,0,82863.1
60.4,-273.9,37.4,-31,40,-18,48,-14,2182,0,-351,2.9,31.3,0,83974.5
59.7,-270.8,37.0,-30,39,-18,48,-14,2097,0,-347,2.8,31.0,0,80790.5
74.0,-366.7,45.4,-37,54,-23,57,-17,2570,1,-428,4.3,41.5,1,98982.5
73.8,-349.9,45.3,-37,54,-23,57,-17,2537,1,-427,4.2,41.6,1,97747.5
73.2,-340.0,45.0,-38,53,-23,56,-17,2621,1,-424,4.4,41.3,1,100787.4
56.6,-266.9,35.1,-29,36,-17,46,-14,2038,0,-330,2.6,28.7,0,78456.1
60.5,-302.8,37.5,-31,40,-18,48,-14,2126,0,-352,2.9,31.5,0,81859.6
67.4,-375.2,41.5,-34,47,-21,53,-16,2421,1,-391,3.8,36.7,1,93200.5
61.5,-287.3,38.0,-31,41,-19,49,-14,2205,0,-357,3.2,32.2,0,84802.4
62.0,-276.6,38.4,-32,41,-19,49,-15,2243,0,-360,3.2,32.5,0,86319.0
66.5,-318.0,41.0,-34,46,-20,52,-15,2327,1,-386,3.3,36.1,1,89584.9
63.0,-289.0,38.9,-32,43,-19,50,-15,2251,1,-366,2.9,33.6,1,86820.8
61.9,-278.8,38.2,-32,41,-19,49,-15,2244,0,-360,3.0,32.7,0,86393.4
58.3,-287.6,36.2,-30,38,-18,47,-14,2023,0,-340,2.7,30.0,0,77872.9
61.0,-289.5,37.8,-31,41,-19,49,-14,2235,0,-355,2.9,31.9,0,85979.2
63.1,-293.6,39.0,-32,43,-19,50,-15,2202,1,-366,3.1,33.3,1,84724.3
65.0,-325.0,40.1,-33,45,-20,51,-15,2300,1,-377,3.5,34.9,1,88495.3
63.1,-279.9,39.0,-32,43,-19,50,-15,2266,1,-366,3.0,33.4,1,87244.6
59.7,-294.0,37.0,-30,39,-18,48,-14,2099,0,-347,2.9,30.9,0,80890.2
63.3,-327.7,39.1,-32,43,-19,50,-15,2223,1,-368,2.9,33.8,1,85568.6
66.6,-302.3,41.1,-34,46,-21,52,-16,2387,1,-387,3.4,36.3,1,91674.8
