country_birth,cur_eco_activity,edu_level,economic_status,age,occupation,sex,household_size,marital_status,household_position,prev_residence_place,citizenship
0,154,1,125,6,1,1,126,0,1254,1,1
0,154,1,125,6,0,1,126,0,1255,1,1
0,157,1,127,6,0,1,128,0,1271,1,1
0,159,1,129,6,0,1,129,0,1284,1,1
0,155,1,126,6,1,1,126,0,1259,1,1
0,156,1,127,6,0,1,127,0,1268,1,1
0,155,1,126,6,1,1,127,0,1262,1,1
0,154,1,125,6,0,1,126,0,1253,1,1
0,163,1,131,6,1,1,132,0,1309,1,1
0,155,1,126,6,0,1,127,0,1263,1,1
0,158,1,128,6,1,1,129,0,1280,1,1
0,157,1,127,6,0,1,128,0,1271,1,1
0,155,1,126,6,1,1,127,0,1260,1,1
0,154,1,125,6,0,1,126,0,1254,1,1
0,156,1,126,6,1,1,127,0,1263,1,1
0,157,1,127,6,0,1,127,0,1268,1,1
0,156,1,127,6,1,1,127,0,1268,1,1
0,155,1,126,6,0,1,127,0,1263,1,1
0,155,1,126,6,1,1,127,0,1262,1,1
0,154,1,125,6,0,1,126,0,1253,1,1
0,156,1,126,6,1,1,127,0,1265,1,1
0,154,1,125,6,0,1,126,0,1253,1,1
0,158,1,128,6,1,1,128,0,1278,1,1
0,154,1,125,6,0,1,126,0,1256,1,1
0,157,1,127,6,1,1,128,0,1275,1,1
0,154,1,125,6,0,1,126,0,1256,1,1
0,155,1,126,6,1,1,127,0,1261,1,1
0,156,1,126,6,0,1,127,0,1262,1,1
0,155,1,126,6,1,1,127,0,1262,1,1
0,156,1,127,6,0,1,127,0,1268,1,1
0,154,1,125,6,1,1,126,0,1253,1,1
0,157,1,127,6,0,1,128,0,1274,1,1
0,162,1,131,6,1,1,131,0,1304,1,1
0,154,1,125,6,0,1,126,0,1254,1,1
0,154,1,125,6,0,1,126,0,1256,1,1
0,155,1,125,6,0,1,126,0,1256,1,1
0,159,1,129,6,1,1,129,0,1286,1,1
0,154,1,125,6,0,1,126,0,1255,1,1
0,157,1,127,6,1,1,128,0,1273,1,1
0,155,1,125,6,0,1,126,0,1258,1,1
0,154,1,125,6,1,1,126,0,1254,1,1
0,154,1,125,6,0,1,126,0,1254,1,1
0,157,1,127,6,1,1,128,0,1275,1,1
0,157,1,127,6,0,1,128,0,1272,1,1
0,157,1,127,6,1,1,128,0,1269,1,1
0,154,1,125,6,0,1,126,0,1254,1,1
0,155,1,126,6,1,1,126,0,1258,1,1
0,158,1,128,6,0,1,129,0,1282,1,1
0,154,1,125,6,1,1,126,0,1255,1,1
0,160,1,130,6,0,1,130,0,1293,1,1
0,154,1,125,6,1,1,126,0,1258,1,1
0,159,1,128,6,0,1,129,0,1284,1,1
0,155,1,125,6,1,1,126,0,1257,1,1
0,157,1,127,6,0,1,127,0,1268,1,1
0,157,1,127,6,1,1,128,0,1274,1,1
0,154,1,125,6,0,1,126,0,1256,1,1
0,154,1,125,6,1,1,126,0,1254,1,1
0,159,1,129,6,0,1,130,0,1288,1,1
0,154,1,125,6,1,1,126,0,1256,1,1
0,154,1,125,6,0,1,126,0,1257,1,1
0,155,1,126,6,1,1,127,0,1263,1,1
0,155,1,125,6,0,1,126,0,1259,1,1
0,154,1,125,6,1,1,126,0,1253,1,1
0,156,1,126,6,0,1,127,0,1265,1,1
0,155,1,125,6,1,1,126,0,1258,1,1
0,155,1,126,6,0,1,127,0,1260,1,1
0,154,1,125,6,0,1,126,0,1254,1,1
0,155,1,126,6,0,1,127,0,1260,1,1
0,155,1,126,6,1,1,127,0,1261,1,1
0,154,1,125,6,0,1,126,0,1253,1,1
0,157,1,128,6,1,1,128,0,1278,1,1
0,154,1,125,6,0,1,126,0,1256,1,1
0,160,1,129,6,1,1,130,0,1292,1,1
0,157,1,127,6,0,1,128,0,1274,1,1
0,154,1,125,6,1,1,126,0,1254,1,1
0,155,1,126,6,0,1,127,0,1260,1,1
0,158,1,128,6,1,1,129,0,1282,1,1
0,155,1,126,6,0,1,126,0,1260,1,1
0,154,1,125,6,1,1,126,0,1255,1,1
0,155,1,126,6,0,1,127,0,1262,1,1
0,156,1,126,6,1,1,127,0,1265,1,1
0,156,1,127,6,0,1,127,0,1268,1,1
0,156,1,126,6,1,1,127,0,1265,1,1
0,156,1,126,6,0,1,127,0,1265,1,1
0,158,1,128,6,1,1,129,0,1282,1,1
0,155,1,126,6,0,1,126,0,1258,1,1
0,156,1,127,6,1,1,127,0,1267,1,1
0,154,1,125,6,0,1,126,0,1255,1,1
0,155,1,126,6,1,1,126,0,1258,1,1
0,155,1,125,6,0,1,126,0,1258,1,1
0,156,1,126,6,1,1,127,0,1263,1,1
0,156,1,126,6,0,1,127,0,1264,1,1
0,155,1,126,6,1,1,127,0,1260,1,1
0,154,1,125,6,0,1,126,0,1254,1,1
0,155,1,126,6,1,1,126,0,1259,1,1
0,155,1,125,6,0,1,126,0,1257,1,1
0,155,1,125,6,1,1,126,0,1256,1,1
0,156,1,126,6,0,1,127,0,1265,1,1
0,154,1,125,6,0,1,126,0,1256,1,1
0,156,1,126,6,0,1,127,0,1264,1,1
0,154,1,125,6,1,1,126,0,1254,1,1
0,159,1,129,6,0,1,129,0,1285,1,1
0,155,1,125,6,1,1,126,0,1258,1,1
0,155,1,125,6,0,1,126,0,1257,1,1
0,157,1,127,6,1,1,128,0,1272,1,1
0,161,1,130,6,0,1,131,0,1297,1,1
0,155,1,125,6,1,1,126,0,1258,1,1
0,158,1,128,6,0,1,129,0,1279,1,1
0,154,1,125,6,1,1,126,0,1254,1,1
0,155,1,125,6,0,1,126,0,1256,1,1
0,160,1,129,6,1,1,130,0,1288,1,1
0,155,1,126,6,0,1,127,0,1262,1,1
0,154,1,125,6,1,1,126,0,1254,1,1
0,156,1,126,6,0,1,127,0,1263,1,1
0,159,1,129,6,1,1,129,0,1287,1,1
0,156,1,126,6,0,1,127,0,1266,1,1
0,155,1,126,6,1,1,127,0,1261,1,1
0,154,1,125,6,0,1,126,0,1253,1,1
0,157,1,127,6,1,1,128,0,1273,1,1
0,156,1,127,6,0,1,128,0,1270,1,1
0,160,1,129,6,1,1,130,0,1293,1,1
0,154,1,125,6,0,1,126,0,1256,1,1
0,154,1,125,6,1,1,126,0,1253,1,1
0,156,1,126,6,0,1,127,0,1264,1,1
0,155,1,125,6,1,1,126,0,1256,1,1
0,162,1,131,6,0,1,131,0,1304,1,1
0,154,1,125,6,1,1,126,0,1257,1,1
0,155,1,126,6,0,1,127,0,1260,1,1
0,157,1,127,6,1,1,128,0,1274,1,1
0,156,1,126,6,0,1,127,0,1267,1,1
0,158,1,128,6,0,1,129,0,1281,1,1
0,154,1,125,6,0,1,126,0,1255,1,1
0,155,1,125,6,1,1,126,0,1258,1,1
0,155,1,126,6,0,1,127,0,1260,1,1
0,154,1,125,6,1,1,126,0,1254,1,1
0,154,1,125,6,0,1,126,0,1251,1,1
0,156,1,126,6,1,1,127,0,1266,1,1
0,156,1,126,6,0,1,127,0,1264,1,1
0,154,1,125,6,1,1,126,0,1255,1,1
0,156,1,127,6,0,1,127,0,1267,1,1
0,156,1,127,6,1,1,127,0,1268,1,1
0,155,1,126,6,0,1,126,0,1259,1,1
0,155,1,126,6,1,1,126,0,1258,1,1
0,157,1,127,6,0,1,128,0,1272,1,1
0,157,1,127,6,1,1,128,0,1269,1,1
0,154,1,125,6,0,1,126,0,1256,1,1
0,154,1,125,6,1,1,126,0,1253,1,1
0,155,1,125,6,0,1,126,0,1257,1,1
0,156,1,127,6,1,1,127,0,1268,1,1
0,155,1,125,6,0,1,126,0,1257,1,1
0,155,1,126,6,1,1,127,0,1261,1,1
0,158,1,128,6,0,1,129,0,1280,1,1
0,155,1,125,6,1,1,126,0,1257,1,1
0,157,1,127,6,0,1,128,0,1273,1,1
0,160,1,129,6,1,1,130,0,1290,1,1
0,157,1,127,6,0,1,128,0,1274,1,1
