race,male,fam_inc,tier,fulltime,lsat,ugpa,decile1b,decile3,zgpa,zfygpa,pass_bar
0,0,2,1,1,22.2,2.4,6.3,5.4,0.59,0.7,0
0,0,2,2,1,21.0,2.4,6.3,5.4,0.6,0.74,0
1,0,4,6,2,47.0,2.3,6.3,5.5,0.62,0.76,0
1,0,4,4,2,46.3,2.4,6.3,5.2,0.57,0.73,0
1,0,2,5,1,22.4,2.3,6.3,5.6,0.64,0.79,0
1,0,2,2,1,27.4,2.2,6.3,5.7,0.66,0.78,0
1,0,2,0,1,22.1,2.2,6.3,5.7,0.66,0.77,0
0,0,3,4,2,40.0,2.4,6.3,5.4,0.6,0.75,0
1,0,4,5,2,44.2,2.2,6.2,5.7,0.66,0.77,0
1,1,5,8,2,52.1,2.3,6.3,5.7,0.65,0.77,0
1,0,3,5,2,36.8,2.4,6.2,5.3,0.59,0.73,0
0,0,3,3,1,31.2,2.4,6.3,5.4,0.6,0.74,0
1,0,2,1,1,21.2,2.2,6.3,5.7,0.66,0.78,0
0,0,2,6,1,23.3,2.3,6.3,5.5,0.62,0.75,0
1,0,2,2,1,21.7,2.2,6.3,5.8,0.66,0.74,0
1,0,3,6,2,37.6,2.1,6.3,6.0,0.71,0.82,0
1,0,2,2,1,19.1,2.3,6.2,5.5,0.62,0.75,0
0,0,2,2,1,22.0,2.4,6.3,5.3,0.58,0.7,0
1,0,3,3,1,26.9,2.3,6.3,5.6,0.64,0.76,0
0,0,3,3,1,30.4,2.4,6.3,5.3,0.59,0.74,0
1,0,3,5,2,37.2,2.2,6.2,5.8,0.69,0.8,0
1,0,2,1,1,22.7,2.2,6.3,5.7,0.65,0.76,0
1,0,2,5,1,24.5,2.4,6.3,5.3,0.58,0.73,0
1,0,4,6,2,40.2,2.3,6.3,5.5,0.62,0.75,0
1,0,4,5,2,41.1,2.3,6.3,5.7,0.65,0.77,0
0,1,5,6,2,58.7,2.3,6.3,5.6,0.65,0.76,0
1,0,2,3,1,20.5,2.3,6.3,5.6,0.63,0.76,0
1,1,4,2,2,49.7,2.2,6.3,5.9,0.69,0.79,0
1,0,3,2,1,25.6,2.3,6.3,5.6,0.64,0.76,0
1,0,3,7,2,39.9,2.3,6.3,5.6,0.63,0.76,0
0,0,2,2,1,22.9,2.4,6.3,5.4,0.6,0.74,0
1,1,5,6,2,52.3,2.3,6.2,5.6,0.63,0.74,0
1,0,2,0,1,23.7,2.3,6.3,5.5,0.62,0.76,0
1,0,2,3,1,24.8,2.2,6.3,5.8,0.69,0.8,0
0,0,3,2,1,25.4,2.4,6.3,5.3,0.6,0.75,0
1,0,2,0,1,21.6,2.4,6.3,5.4,0.59,0.71,0
0,0,2,2,1,24.3,2.4,6.3,5.3,0.58,0.73,0
1,1,7,9,2,86.4,2.3,6.3,5.6,0.64,0.76,1
1,0,2,6,1,22.2,2.2,6.3,5.7,0.65,0.77,0
1,1,7,14,2,89.5,2.2,6.3,5.8,0.68,0.78,1
1,0,3,4,1,33.4,2.2,6.3,5.9,0.69,0.8,0
1,0,2,2,1,25.6,2.3,6.3,5.6,0.64,0.74,0
1,1,5,10,2,62.9,2.2,6.3,5.8,0.68,0.79,0
1,0,3,3,1,27.6,2.2,6.3,5.8,0.68,0.79,0
1,0,2,3,1,22.0,2.2,6.3,5.7,0.66,0.78,0
1,0,2,1,1,25.1,2.2,6.2,5.7,0.66,0.77,0
1,1,7,10,2,86.2,2.2,6.3,5.8,0.67,0.79,1
0,0,2,1,1,21.9,2.4,6.3,5.4,0.61,0.75,0
1,0,2,1,1,20.3,2.2,6.3,5.9,0.67,0.75,0
1,0,2,3,1,24.2,2.2,6.2,5.8,0.67,0.76,0
1,1,4,9,2,47.0,2.2,6.3,5.7,0.65,0.75,0
1,0,3,6,2,38.1,2.2,6.3,5.8,0.67,0.78,0
1,1,5,4,2,54.7,2.2,6.2,5.9,0.68,0.77,0
0,1,5,8,2,66.7,2.3,6.3,5.4,0.61,0.74,0
0,0,2,1,1,24.0,2.4,6.3,5.2,0.57,0.74,0
